index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
24,B1,31/08/02,Anderlecht,Gent,2,2,D,2,1,H,1.25,5.0,8.0,1.29,4.75,8.0,1.35,4.0,7.0,1.364,4.0,7.0,1.35,4.2,6.25,1.5,2.25
25,B1,31/08/02,Bergen,Standard,1,0,H,0,0,D,3.0,3.2,2.1,2.92,3.25,2.1,3.1,3.2,2.0,2.875,3.3,2.1,2.65,3.25,2.2,1.6,2.05
26,B1,31/08/02,Charleroi,Antwerp,1,1,D,0,1,A,1.8,3.4,3.75,1.79,3.35,3.8,1.9,3.1,3.5,1.9,3.25,3.4,1.9,3.3,3.25,1.6,2.05
27,B1,31/08/02,Club Brugge,Mechelen,4,0,H,2,0,H,1.143,6.0,12.0,1.16,5.85,12.0,1.15,6.0,12.0,1.167,5.5,12.0,1.2,5.2,9.0,1.4,2.55
28,B1,31/08/02,Lierse,Westerlo,0,1,A,0,0,D,1.615,3.4,4.5,1.57,3.6,5.0,1.75,3.2,4.0,1.667,3.3,4.5,1.6,3.4,4.6,1.6,2.05
29,B1,31/08/02,Lokeren,Louvieroise,1,1,D,0,1,A,1.5,3.4,6.0,1.48,3.75,5.5,1.5,3.7,5.0,1.533,3.4,5.5,1.55,3.55,4.8,1.5,2.25
30,B1,31/08/02,St Truiden,Beveren,6,1,H,3,0,H,1.615,3.4,4.5,1.55,3.55,5.1,1.6,3.4,4.6,1.533,3.5,5.25,1.5,3.5,5.5,1.6,2.05
31,B1,01/09/02,Mouscron,Genk,3,3,D,0,1,A,2.4,3.25,2.4,2.55,3.25,2.45,2.4,3.1,2.4,2.5,3.25,2.4,2.3,3.25,2.55,1.5,2.25
32,B1,11/09/02,Genk,Germinal,5,2,H,2,1,H,1.5,3.6,5.5,1.48,3.4,6.5,1.45,3.8,5.4,1.533,3.5,5.5,1.5,3.6,5.2,1.85,1.75
33,B1,13/09/02,Standard,Club Brugge,1,2,A,0,1,A,3.0,3.2,2.1,3.2,3.3,2.0,3.2,3.1,2.0,3.2,3.2,2.0,3.2,3.2,2.0,,
34,B1,14/09/02,Beveren,Lokeren,0,1,A,0,0,D,3.2,3.2,2.0,3.25,3.25,2.0,3.0,3.1,2.1,3.2,3.2,2.0,2.75,3.25,2.15,1.6,2.05
35,B1,14/09/02,Gent,Bergen,2,1,H,0,1,A,1.533,3.4,5.5,1.51,3.7,5.6,1.6,3.4,4.6,1.533,3.4,5.5,1.6,3.4,4.6,1.5,2.25
36,B1,14/09/02,Mechelen,Lierse,0,2,A,0,1,A,1.909,3.25,2.5,2.35,3.25,2.65,2.3,3.1,2.6,2.4,3.25,2.5,2.3,3.2,2.6,1.65,1.95
37,B1,14/09/02,Mouscron,Charleroi,6,0,H,3,0,H,1.533,3.4,5.5,1.5,3.7,5.6,1.4,3.9,6.0,1.5,3.6,5.5,1.5,3.55,5.3,1.5,2.25
38,B1,14/09/02,Westerlo,St Truiden,0,3,A,0,1,A,2.25,3.2,2.75,2.25,3.25,2.75,2.1,3.1,3.0,2.25,3.25,2.7,2.2,3.2,2.7,1.65,1.95
39,B1,15/09/02,Antwerp,Anderlecht,2,1,H,0,1,A,4.0,3.6,1.667,4.0,3.4,1.75,4.6,3.4,1.6,4.333,3.4,1.667,3.9,3.4,1.7,1.6,2.05
