index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
1,B1,06/08/04,Mouscron,Anderlecht,2,0,H,1,0,H,3.5,3.25,1.9,3.25,3.4,1.95,3.6,3.25,1.9,3.5,3.1,1.9,3.75,3.5,1.727,3.6,3.25,1.85,3.8,3.5,1.72,1.65,2.0,1.71,1.9,0.5,,,,,,,,
2,B1,07/08/04,Beveren,Club Brugge,1,1,D,1,1,D,4.0,3.5,1.72,4.75,3.6,1.65,4.2,3.5,1.7,5.4,3.8,1.45,5.0,3.5,1.571,4.0,3.4,1.73,4.33,3.4,1.66,1.6,2.1,2.05,1.6,0.5,,,,,,,,
3,B1,07/08/04,Cercle Brugge,Lokeren,2,2,D,1,1,D,2.37,3.2,2.62,2.3,3.25,2.7,2.4,3.15,2.65,2.5,3.0,2.5,2.4,3.25,2.5,2.4,3.1,2.6,2.6,3.1,2.4,1.71,1.95,2.4,1.44,-0.5,,,,,,,,
4,B1,07/08/04,FC Brussels,Genk,0,1,A,0,0,D,3.0,3.25,2.1,3.2,3.35,2.0,3.35,3.2,2.0,3.1,3.0,2.1,,,,3.1,3.1,2.1,3.2,3.2,2.0,1.71,1.95,1.64,2.0,0.5,,,,,,,,
5,B1,07/08/04,Gent,Germinal,0,1,A,0,0,D,2.0,3.25,3.25,2.1,3.25,3.0,1.95,3.2,3.5,1.9,3.1,3.5,1.909,3.2,3.5,1.91,3.2,3.5,1.8,3.4,3.6,1.83,1.83,1.95,1.67,-0.5,,,,,,,,
6,B1,07/08/04,Lierse,Standard,1,1,D,0,1,A,2.8,3.25,2.2,3.0,3.3,2.1,2.85,3.2,2.25,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.1,2.25,2.87,3.1,2.2,1.71,1.95,1.51,2.25,0.5,,,,,,,,
7,B1,07/08/04,St Truiden,Bergen,0,0,D,0,0,D,1.83,3.25,3.75,2.0,3.35,3.2,1.8,3.3,4.0,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.2,3.5,1.8,3.3,3.75,1.79,1.85,1.8,1.81,-0.5,,,,,,,,
8,B1,08/08/04,Charleroi,Louvieroise,2,5,A,1,3,A,2.3,3.2,2.7,2.3,3.25,2.7,2.25,3.1,2.9,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.1,2.8,2.15,3.2,2.9,1.83,1.83,2.25,1.5,-0.5,,,,,,,,
9,B1,08/08/04,Oostende,Westerlo,3,3,D,0,2,A,2.7,3.2,2.3,2.9,3.2,2.2,2.65,3.25,2.35,2.6,3.0,2.4,2.75,3.25,2.2,2.75,3.2,2.25,2.5,3.25,2.4,1.83,1.83,1.46,2.35,0.5,,,,,,,,
10,B1,13/08/04,Standard,Charleroi,1,2,A,1,2,A,1.33,4.33,8.0,1.3,4.5,8.25,1.33,4.5,7.25,1.3,4.2,8.0,1.3,4.33,8.0,1.33,4.33,7.0,1.33,4.33,7.0,1.5,2.3,1.33,2.78,-0.5,,,,,,,,
11,B1,14/08/04,Anderlecht,St Truiden,2,1,H,0,0,D,1.22,5.5,8.5,1.3,4.5,8.25,1.25,5.0,9.0,1.33,4.0,7.5,1.25,4.5,10.0,1.22,5.0,9.5,1.25,4.5,10.0,,,1.25,3.21,-0.5,,,,,,,,
12,B1,14/08/04,Genk,Mouscron,0,0,D,0,0,D,1.8,3.25,4.0,1.85,3.35,3.65,1.7,3.3,4.5,1.75,3.2,4.0,1.67,3.25,4.5,1.8,3.25,3.8,1.72,3.2,4.33,1.71,1.95,1.62,2.02,-0.5,,,,,,,,
