index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
1,B1,21/08/98,Oostende,Standard,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
2,B1,21/08/98,St Truiden,Mouscron,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
3,B1,22/08/98,Aalst,Club Brugge,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
4,B1,22/08/98,Anderlecht,Charleroi,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
5,B1,22/08/98,Germinal,Westerlo,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
6,B1,22/08/98,Lierse,Gent,1.0,2.0,A,0.0,2.0,A,,,,,,,,,,,
7,B1,22/08/98,Lokeren,Genk,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
8,B1,22/08/98,Lommel,Beveren,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
9,B1,23/08/98,Harelbeke,Kortrijk,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
10,B1,29/08/98,Beveren,Anderlecht,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
11,B1,29/08/98,Club Brugge,Germinal,2.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
12,B1,29/08/98,Gent,Oostende,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
13,B1,29/08/98,Mouscron,Lommel,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
14,B1,29/08/98,Standard,Aalst,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
15,B1,29/08/98,Westerlo,St Truiden,1.0,4.0,A,1.0,1.0,D,,,,,,,,,,,
16,B1,30/08/98,Charleroi,Harelbeke,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
17,B1,30/08/98,Genk,Lierse,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
18,B1,30/08/98,Kortrijk,Lokeren,0.0,6.0,A,0.0,3.0,A,,,,,,,,,,,
19,B1,01/09/98,Anderlecht,Mouscron,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
20,B1,02/09/98,Aalst,Germinal,5.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
21,B1,02/09/98,Harelbeke,Beveren,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
22,B1,02/09/98,Lierse,Kortrijk,5.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
23,B1,02/09/98,Lokeren,Charleroi,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
24,B1,02/09/98,Lommel,Westerlo,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
25,B1,02/09/98,St Truiden,Club Brugge,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
26,B1,02/09/98,Standard,Gent,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
27,B1,05/09/98,Beveren,Lokeren,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
28,B1,05/09/98,Gent,Aalst,2.0,2.0,D,2.0,1.0,H,,,,,,,,,,,
29,B1,05/09/98,Germinal,St Truiden,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
30,B1,05/09/98,Mouscron,Harelbeke,2.0,2.0,D,1.0,2.0,A,,,,,,,,,,,
31,B1,05/09/98,Westerlo,Anderlecht,6.0,0.0,H,3.0,0.0,H,,,,,,,,,,,
32,B1,06/09/98,Genk,Standard,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
33,B1,06/09/98,Kortrijk,Oostende,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
34,B1,09/09/98,Aalst,St Truiden,1.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
35,B1,09/09/98,Anderlecht,Club Brugge,2.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
36,B1,09/09/98,Gent,Genk,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
37,B1,09/09/98,Harelbeke,Westerlo,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,
38,B1,09/09/98,Lierse,Beveren,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
39,B1,09/09/98,Lokeren,Mouscron,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
40,B1,09/09/98,Lommel,Germinal,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
41,B1,09/09/98,Oostende,Charleroi,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
42,B1,09/09/98,Standard,Kortrijk,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
43,B1,12/09/98,Beveren,Oostende,5.0,0.0,H,4.0,0.0,H,,,,,,,,,,,
44,B1,12/09/98,Genk,Aalst,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
45,B1,12/09/98,Germinal,Anderlecht,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
46,B1,12/09/98,Mouscron,Lierse,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
47,B1,12/09/98,St Truiden,Lommel,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
48,B1,12/09/98,Westerlo,Lokeren,4.0,3.0,H,2.0,1.0,H,,,,,,,,,,,
49,B1,13/09/98,Charleroi,Standard,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
50,B1,13/09/98,Club Brugge,Harelbeke,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
51,B1,13/09/98,Kortrijk,Gent,3.0,4.0,A,1.0,2.0,A,,,,,,,,,,,
52,B1,18/09/98,Lokeren,Club Brugge,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
53,B1,19/09/98,Anderlecht,St Truiden,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
54,B1,19/09/98,Genk,Kortrijk,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
55,B1,19/09/98,Gent,Charleroi,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
56,B1,19/09/98,Lierse,Westerlo,5.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
