index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
166,B1,20/01/01,Louvieroise,Standard,0,4,A,0,2,A,4.2,3.3,1.65,3.6,3.2,1.7,3.8,3.4,1.73,3.8,3.5,1.7
167,B1,20/01/01,Lierse,St Truiden,2,1,H,0,0,D,1.47,3.4,6.0,1.35,3.8,6.2,1.44,3.75,5.75,1.45,3.75,5.5
168,B1,21/01/01,Aalst,Genk,4,2,H,1,2,A,2.3,3.2,2.6,2.35,3.0,2.35,2.38,3.2,2.5,2.35,3.3,2.45
169,B1,21/01/01,Harelbeke,Charleroi,1,0,H,0,0,D,3.4,2.8,2.1,3.1,3.0,1.9,2.88,3.5,2.0,2.6,3.5,2.15
170,B1,27/01/01,Gent,Aalst,1,0,H,1,0,H,1.35,4.0,7.0,1.35,3.8,6.2,1.36,4.0,6.75,1.35,4.0,7.0
171,B1,27/01/01,Antwerp,Charleroi,1,1,D,1,0,H,2.18,3.35,2.65,2.2,3.0,2.6,2.2,3.4,2.6,2.25,3.4,2.5
172,B1,27/01/01,Beveren,Anderlecht,1,3,A,0,2,A,4.8,3.6,1.55,4.2,3.2,1.6,4.5,3.6,1.57,4.6,3.65,1.55
173,B1,27/01/01,Genk,St Truiden,3,0,H,0,0,D,1.55,3.6,4.75,1.55,3.3,4.5,1.57,3.5,4.75,1.55,3.6,4.7
174,B1,27/01/01,Lierse,Westerlo,1,2,A,1,0,H,2.0,3.1,3.25,2.0,2.9,3.0,1.91,3.4,3.2,1.9,3.5,3.1
175,B1,27/01/01,Lokeren,Club Brugge,2,2,D,2,1,H,4.2,3.5,1.65,3.9,3.2,1.65,4.0,3.2,1.75,3.6,3.1,1.83
176,B1,28/01/01,Louvieroise,Harelbeke,0,2,A,0,1,A,2.05,3.3,2.95,2.0,3.0,2.9,2.1,3.3,2.8,2.1,3.4,2.75
177,B1,28/01/01,Mouscron,Mechelen,4,2,H,0,1,A,1.35,4.0,7.0,1.3,4.0,7.0,1.4,3.8,6.25,1.4,4.0,6.0
178,B1,28/01/01,Standard,Germinal,1,1,D,1,0,H,1.45,3.6,6.0,1.45,3.5,5.0,1.5,3.5,5.5,1.45,3.8,5.5
179,B1,02/02/01,Charleroi,Anderlecht,0,4,A,0,1,A,3.55,3.25,1.85,3.5,3.0,1.8,3.5,3.4,1.8,3.4,3.5,1.8
180,B1,03/02/01,Beveren,Lierse,2,1,H,0,1,A,2.2,3.2,2.75,2.35,3.0,2.35,2.2,3.25,2.7,2.2,3.4,2.6
181,B1,03/02/01,Germinal,Louvieroise,3,1,H,1,0,H,1.3,4.3,7.5,1.25,4.3,8.0,1.33,4.0,7.5,1.35,4.4,6.0
182,B1,03/02/01,Mechelen,Lokeren,0,3,A,0,3,A,2.6,3.2,2.3,2.6,3.0,2.2,2.4,3.4,2.38,2.35,3.5,2.35
183,B1,03/02/01,St Truiden,Gent,0,1,A,0,1,A,2.9,3.2,2.1,2.9,2.9,2.1,2.9,3.3,2.05,2.85,3.5,2.0
184,B1,03/02/01,Westerlo,Genk,5,0,H,2,0,H,1.7,3.2,4.3,1.6,3.3,4.0,1.67,3.4,4.2,1.6,3.65,4.2
185,B1,04/02/01,Aalst,Mouscron,1,0,H,1,0,H,2.7,3.35,2.15,2.8,3.0,2.1,2.75,3.4,2.1,2.85,3.5,2.0
186,B1,04/02/01,Club Brugge,Standard,1,1,D,0,0,D,1.5,3.5,5.5,1.55,3.3,4.5,1.57,3.5,4.75,1.61,3.6,4.33
187,B1,04/02/01,Harelbeke,Antwerp,2,0,H,1,0,H,2.25,3.15,2.75,2.2,3.0,2.6,2.1,3.4,2.75,2.1,3.4,2.75
188,B1,09/02/01,Anderlecht,Antwerp,2,0,H,1,0,H,1.15,6.0,11.0,1.15,5.5,11.0,1.17,5.5,10.0,1.15,6.0,10.0
189,B1,09/02/01,Louvieroise,Club Brugge,1,1,D,0,0,D,6.65,4.2,1.35,6.2,3.8,1.35,6.0,4.0,1.4,6.0,3.9,1.4
190,B1,10/02/01,Gent,Westerlo,3,1,H,2,1,H,1.85,3.25,3.55,1.9,3.0,3.1,1.83,3.4,3.4,1.85,3.5,3.2
191,B1,10/02/01,Germinal,Harelbeke,2,1,H,0,0,D,1.42,3.85,6.0,1.45,3.5,5.0,1.5,3.75,5.0,1.5,3.9,4.7
192,B1,10/02/01,Genk,Beveren,1,0,H,0,0,D,1.8,3.3,3.7,1.75,3.1,3.6,1.83,3.3,3.5,1.85,3.5,3.2
193,B1,10/02/01,Lierse,Charleroi,2,0,H,1,0,H,1.85,3.2,3.65,1.7,3.1,3.8,1.85,3.4,3.3,1.85,3.5,3.2
194,B1,10/02/01,Lokeren,Aalst,2,0,H,0,0,D,1.47,3.6,5.5,1.45,3.5,5.0,1.53,3.75,4.75,1.5,3.9,4.6
195,B1,10/02/01,Mouscron,St Truiden,1,0,H,1,0,H,1.3,4.25,8.0,1.3,4.0,7.0,1.36,4.0,6.5,1.35,4.25,6.2
196,B1,11/02/01,Standard,Mechelen,2,0,H,1,0,H,1.2,5.0,9.2,1.2,4.7,9.0,1.22,5.0,9.0,1.2,5.5,8.0
197,B1,16/02/01,Westerlo,Mouscron,1,0,H,0,0,D,1.85,3.3,3.45,1.85,3.0,3.3,1.85,3.5,3.2,1.85,3.4,3.3
198,B1,17/02/01,Antwerp,Lierse,0,0,D,0,0,D,2.25,3.15,2.7,2.2,3.0,2.6,2.3,3.3,2.5,2.3,3.4,2.45
199,B1,17/02/01,Beveren,Gent,1,1,D,1,1,D,2.35,3.1,2.5,2.4,2.9,2.4,2.4,3.4,2.38,2.4,3.4,2.35
200,B1,17/02/01,Charleroi,Genk,2,1,H,0,1,A,1.62,3.4,4.25,1.7,3.2,3.6,1.75,3.5,3.6,1.75,3.5,3.55
201,B1,17/02/01,Mechelen,Louvieroise,0,0,D,0,0,D,1.77,3.35,3.75,1.75,3.1,3.6,1.75,3.4,3.75,1.75,3.5,3.55
202,B1,17/02/01,St Truiden,Lokeren,2,0,H,1,0,H,2.6,3.0,2.35,2.35,3.0,2.35,2.63,3.3,2.2,2.65,3.4,2.15
203,B1,18/02/01,Aalst,Standard,1,1,D,0,0,D,3.3,3.2,1.9,3.1,3.0,1.9,3.25,3.3,1.91,3.4,3.5,1.8
204,B1,18/02/01,Club Brugge,Germinal,2,2,D,1,2,A,1.3,4.25,7.0,1.35,3.8,6.2,1.36,3.75,7.5,1.45,3.8,5.5
205,B1,18/02/01,Harelbeke,Anderlecht,1,4,A,1,2,A,5.5,3.5,1.47,5.5,3.6,1.4,5.0,3.6,1.53,5.0,3.7,1.5
206,B1,24/02/01,Gent,Club Brugge,0,2,A,0,0,D,2.7,3.1,2.35,2.35,3.0,2.35,2.4,3.3,2.4,2.7,3.3,2.2
207,B1,24/02/01,Westerlo,Anderlecht,2,2,D,1,0,H,3.65,3.35,1.8,2.9,3.0,2.0,3.6,3.3,1.8,3.5,3.4,1.8
208,B1,03/03/01,Gent,Charleroi,1,1,D,1,1,D,1.6,3.4,4.75,1.55,3.3,4.5,1.5,3.5,5.5,1.6,3.5,4.4
209,B1,03/03/01,Germinal,Mechelen,4,1,H,2,0,H,1.37,4.15,7.0,1.35,3.8,6.2,1.36,3.75,7.5,1.35,4.1,6.5
210,B1,03/03/01,Genk,Antwerp,1,1,D,0,1,A,1.7,3.35,4.15,1.75,3.1,3.6,1.7,3.4,4.0,1.65,3.5,4.1
211,B1,03/03/01,Louvieroise,Aalst,3,0,H,0,0,D,2.35,3.2,2.6,2.35,3.0,2.35,2.3,3.3,2.5,2.3,3.35,2.45
212,B1,03/03/01,Lierse,Anderlecht,0,0,D,0,0,D,3.75,3.2,1.82,3.8,3.1,1.7,3.75,3.4,1.75,3.8,3.5,1.72
213,B1,03/03/01,Mouscron,Beveren,0,0,D,0,0,D,1.6,3.4,4.75,1.5,3.4,4.7,1.62,3.4,4.5,1.6,3.55,4.3
214,B1,03/03/01,Standard,St Truiden,1,1,D,0,1,A,1.25,4.7,8.2,1.25,4.3,8.0,1.25,4.75,8.0,1.25,5.0,8.0
215,B1,04/03/01,Club Brugge,Harelbeke,0,0,D,0,0,D,1.2,5.1,9.5,1.15,5.5,11.0,1.2,5.0,9.5,1.3,4.25,7.5
216,B1,04/03/01,Lokeren,Westerlo,2,0,H,0,0,D,2.3,3.0,2.75,2.2,2.9,2.7,2.3,3.2,2.6,2.2,3.4,2.55
217,B1,09/03/01,Westerlo,Standard,2,2,D,1,2,A,2.2,3.1,2.8,2.35,3.0,2.35,2.2,3.25,2.7,2.25,3.4,2.5
218,B1,10/03/01,Anderlecht,Genk,1,0,H,1,0,H,1.2,5.0,10.0,1.2,4.7,9.0,1.2,5.0,9.5,1.2,5.0,9.5
219,B1,10/03/01,Beveren,Lokeren,0,2,A,0,2,A,2.05,3.1,3.07,2.3,2.9,2.5,2.1,3.4,2.75,2.1,3.5,2.65
220,B1,10/03/01,Charleroi,Mouscron,1,3,A,0,2,A,1.9,3.2,3.4,2.1,3.0,2.8,1.91,3.4,3.2,1.9,3.4,3.15
221,B1,10/03/01,Mechelen,Club Brugge,1,1,D,1,1,D,5.7,3.7,1.45,4.7,3.4,1.5,5.5,3.5,1.5,4.75,3.8,1.5
222,B1,11/03/01,Aalst,Germinal,2,0,H,1,0,H,2.6,3.0,2.4,2.35,3.0,2.35,2.5,3.3,2.3,2.55,3.3,2.25
223,B1,11/03/01,Antwerp,Gent,1,0,H,0,0,D,2.55,3.1,2.4,2.35,3.0,2.35,2.4,3.4,2.38,2.5,3.4,2.25
224,B1,11/03/01,Harelbeke,Lierse,1,0,H,0,0,D,2.5,3.05,2.45,2.35,3.0,2.35,2.4,3.3,2.4,2.25,3.4,2.5
225,B1,11/03/01,St Truiden,Louvieroise,1,1,D,1,0,H,1.7,3.3,4.1,1.65,3.2,3.8,1.73,3.4,3.8,1.75,3.5,3.55
226,B1,17/03/01,Gent,Anderlecht,2,1,H,0,0,D,3.1,3.15,2.05,2.6,3.0,2.2,3.1,3.2,2.0,3.0,3.4,2.0
227,B1,17/03/01,Germinal,St Truiden,1,0,H,1,0,H,1.42,3.8,6.15,1.4,3.6,5.5,1.44,3.6,6.0,1.4,4.0,5.8
228,B1,17/03/01,Genk,Lierse,2,0,H,0,0,D,2.1,3.05,3.1,2.1,3.0,2.8,2.0,3.3,3.0,1.95,3.4,3.0
229,B1,17/03/01,Louvieroise,Westerlo,3,1,H,2,0,H,3.15,3.2,2.0,2.6,3.0,2.2,2.88,3.2,2.1,2.8,3.3,2.1
230,B1,17/03/01,Lokeren,Charleroi,1,0,H,0,0,D,1.8,3.25,3.75,1.6,3.3,4.0,1.7,3.4,4.0,1.7,3.45,3.85
231,B1,17/03/01,Mouscron,Antwerp,3,2,H,1,1,D,1.5,3.6,5.5,1.45,3.5,5.0,1.5,3.6,5.2,1.55,3.7,4.5
232,B1,17/03/01,Standard,Beveren,4,2,H,2,2,D,1.4,3.9,6.3,1.3,4.0,7.0,1.4,3.6,7.0,1.4,3.7,6.5
233,B1,18/03/01,Club Brugge,Aalst,1,1,D,0,1,A,1.22,5.0,9.0,1.2,4.7,9.0,1.3,4.2,8.0,1.3,4.1,8.0
234,B1,18/03/01,Mechelen,Harelbeke,2,0,H,1,0,H,2.25,3.0,2.85,2.1,2.9,2.9,2.38,3.2,2.5,2.4,3.3,2.4
235,B1,30/03/01,Anderlecht,Mouscron,3,3,D,3,2,H,1.32,4.3,7.5,1.25,4.3,8.0,1.29,4.33,8.0,1.35,4.0,6.75
236,B1,31/03/01,Antwerp,Lokeren,2,1,H,0,0,D,2.4,3.1,2.6,2.3,2.9,2.5,2.4,3.2,2.5,2.3,3.3,2.5
237,B1,31/03/01,Lierse,Gent,2,0,H,0,0,D,2.3,3.0,2.85,2.2,2.9,2.7,2.3,3.2,2.6,2.3,3.3,2.5
238,B1,31/03/01,St Truiden,Club Brugge,1,2,A,1,1,D,4.35,3.3,1.7,4.7,3.4,1.5,4.33,3.3,1.67,4.4,3.1,1.7
239,B1,31/03/01,Westerlo,Germinal,1,2,A,0,1,A,2.0,3.15,3.3,1.9,2.9,3.2,1.91,3.3,3.25,1.9,3.4,3.15
240,B1,01/04/01,Aalst,Mechelen,1,3,A,0,3,A,1.7,3.35,4.3,1.75,3.1,3.6,1.7,3.4,4.0,1.65,3.5,4.1
241,B1,01/04/01,Beveren,Louvieroise,0,1,A,0,1,A,1.7,3.35,4.3,1.7,3.1,3.8,1.7,3.5,3.8,1.7,3.4,3.9
242,B1,01/04/01,Charleroi,Standard,2,3,A,1,0,H,2.55,3.0,2.5,2.35,3.0,2.35,2.5,3.2,2.4,2.5,3.2,2.35
243,B1,01/04/01,Harelbeke,Genk,1,2,A,0,1,A,2.2,3.1,2.9,2.2,2.9,2.7,2.2,3.2,2.75,2.15,3.3,2.7
244,B1,06/04/01,Louvieroise,Charleroi,1,1,D,0,1,A,2.0,3.2,3.2,1.9,3.0,3.1,2.2,3.25,2.7,2.2,3.3,2.65
245,B1,07/04/01,Gent,Genk,2,1,H,0,0,D,1.55,3.5,5.2,1.45,3.5,5.0,1.5,3.6,5.25,1.6,3.5,4.4
246,B1,07/04/01,Aalst,Harelbeke,0,0,D,0,0,D,1.85,3.1,3.85,1.75,3.1,3.6,1.85,3.25,3.5,1.85,3.4,3.3
247,B1,07/04/01,Club Brugge,Westerlo,2,2,D,1,0,H,1.42,3.8,6.5,1.4,3.6,5.5,1.44,3.6,6.0,1.45,3.55,6.0
248,B1,07/04/01,Germinal,Beveren,2,0,H,1,0,H,1.5,3.6,5.6,1.45,3.5,5.0,1.5,3.5,5.5,1.5,3.7,5.0
249,B1,07/04/01,Mechelen,St Truiden,1,2,A,1,1,D,1.85,3.1,3.85,1.75,3.1,3.6,1.83,3.3,3.5,1.75,3.45,3.65
250,B1,07/04/01,Lokeren,Anderlecht,0,0,D,0,0,D,3.25,3.05,2.05,2.7,2.9,2.2,3.25,3.2,1.95,3.35,3.35,1.85
251,B1,07/04/01,Mouscron,Lierse,1,2,A,0,0,D,1.72,3.3,4.2,1.55,3.3,4.5,1.67,3.3,4.33,1.7,3.45,3.85
252,B1,07/04/01,Standard,Antwerp,0,1,A,0,1,A,1.35,4.1,7.2,1.3,4.0,7.0,1.36,3.75,7.5,1.4,3.75,6.5
253,B1,13/04/01,Anderlecht,Standard,0,0,D,0,0,D,1.45,3.75,6.0,1.45,3.5,5.0,1.5,3.6,5.5,1.55,3.55,4.75
254,B1,14/04/01,Antwerp,Louvieroise,1,1,D,1,0,H,1.67,3.4,4.35,1.75,3.1,3.6,1.8,3.5,3.5,1.75,3.5,3.6
255,B1,14/04/01,Beveren,Club Brugge,0,2,A,0,1,A,4.0,3.25,1.77,4.2,3.2,1.6,4.5,3.3,1.67,4.4,3.3,1.65
256,B1,14/04/01,Charleroi,Germinal,2,1,H,0,1,A,2.2,3.0,2.98,2.2,2.9,2.7,2.25,3.2,2.7,2.3,3.25,2.5
257,B1,14/04/01,Genk,Mouscron,4,0,H,2,0,H,2.25,3.0,2.9,2.2,2.9,2.7,2.2,3.3,2.7,2.15,3.4,2.65
258,B1,14/04/01,Harelbeke,Gent,2,1,H,0,0,D,2.7,3.15,2.32,2.7,2.9,2.2,2.5,3.2,2.4,2.2,3.4,2.55
259,B1,14/04/01,Lierse,Lokeren,1,4,A,1,2,A,1.92,3.15,3.55,2.1,2.9,2.9,1.85,3.4,3.4,1.85,3.4,3.3
260,B1,14/04/01,St Truiden,Aalst,1,0,H,1,0,H,1.97,3.15,3.35,2.0,2.9,3.0,2.0,3.25,3.1,2.0,3.4,2.9
261,B1,14/04/01,Westerlo,Mechelen,0,0,D,0,0,D,1.48,3.75,5.4,1.45,3.5,5.0,1.62,3.5,4.5,1.55,3.7,4.5
262,B1,20/04/01,Louvieroise,Anderlecht,0,1,A,0,0,D,4.75,3.5,1.6,3.9,3.2,1.65,5.0,3.4,1.57,,,
263,B1,21/04/01,Mechelen,Beveren,2,2,D,1,0,H,1.95,3.25,3.3,1.75,3.1,3.6,1.85,3.4,3.4,1.95,3.3,3.1
264,B1,21/04/01,Lokeren,Genk,2,2,D,0,1,A,1.68,3.3,4.45,1.5,3.4,4.7,1.7,3.4,4.0,1.65,3.5,4.1
265,B1,21/04/01,Mouscron,Gent,2,2,D,1,0,H,2.05,3.2,3.15,2.1,2.9,2.9,1.95,3.3,3.1,2.2,3.3,2.65
266,B1,21/04/01,St Truiden,Harelbeke,1,1,D,0,0,D,1.97,3.15,3.35,1.9,2.9,3.2,1.95,3.2,3.25,1.9,3.4,3.15
267,B1,21/04/01,Standard,Lierse,3,2,H,1,0,H,1.55,3.5,5.25,1.5,3.4,4.7,1.44,3.75,5.75,1.5,3.7,5.0
268,B1,22/04/01,Aalst,Westerlo,1,2,A,1,1,D,2.45,3.0,2.62,2.3,3.0,2.4,2.25,3.3,2.6,2.3,3.3,2.5
269,B1,22/04/01,Club Brugge,Charleroi,1,0,H,0,0,D,1.3,4.4,7.7,1.3,4.0,7.0,1.3,4.33,8.0,1.35,3.9,7.0
270,B1,22/04/01,Germinal,Antwerp,3,1,H,2,0,H,1.7,3.45,4.2,1.65,3.2,3.9,1.8,3.4,3.5,1.65,3.4,4.2
271,B1,28/04/01,Gent,Lokeren,3,2,H,1,2,A,1.7,3.4,4.1,1.8,3.0,3.5,1.7,3.4,4.0,1.75,3.45,3.7
272,B1,28/04/01,Anderlecht,Germinal,7,0,H,3,0,H,1.37,4.05,7.0,1.4,3.6,5.5,1.36,3.8,7.0,1.44,3.75,6.0
273,B1,28/04/01,Beveren,Aalst,1,0,H,0,0,D,2.0,3.2,3.25,2.2,3.0,2.6,2.0,3.5,2.88,1.9,3.4,3.2
274,B1,28/04/01,Charleroi,Mechelen,4,1,H,1,0,H,1.65,3.5,4.25,1.65,3.3,3.7,1.7,3.4,4.0,1.7,3.35,4.0
275,B1,28/04/01,Genk,Standard,2,2,D,1,2,A,2.55,3.1,2.5,2.35,3.0,2.35,2.6,3.2,2.3,2.45,3.3,2.35
276,B1,28/04/01,Lierse,Louvieroise,1,2,A,0,1,A,1.65,3.5,4.2,1.6,3.3,4.0,1.73,3.4,3.8,1.7,3.4,3.9
277,B1,28/04/01,Westerlo,St Truiden,4,6,A,3,1,H,1.65,3.35,4.65,1.55,3.4,4.2,1.67,3.5,4.0,1.7,3.35,4.0
278,B1,29/04/01,Antwerp,Club Brugge,0,1,A,0,0,D,4.25,3.35,1.7,4.0,3.3,1.6,4.2,3.4,1.67,4.1,3.5,1.65
279,B1,29/04/01,Harelbeke,Mouscron,0,1,A,0,0,D,2.2,3.25,2.85,2.1,3.1,2.7,2.1,3.4,2.75,1.8,3.45,3.4
280,B1,04/05/01,Mechelen,Antwerp,0,3,A,0,1,A,2.02,3.2,3.15,1.75,3.3,3.4,2.0,3.4,2.9,2.0,3.5,2.85
281,B1,05/05/01,Club Brugge,Anderlecht,0,1,A,0,1,A,2.27,3.0,2.9,2.2,3.0,2.6,2.2,3.2,2.8,2.2,3.25,2.75
282,B1,05/05/01,Germinal,Lierse,6,0,H,1,0,H,1.57,3.5,4.7,1.55,3.3,4.5,1.57,3.5,4.6,1.6,3.5,4.4
283,B1,05/05/01,Louvieroise,Genk,2,1,H,1,0,H,1.8,3.35,3.65,1.75,3.1,3.6,1.75,3.5,3.6,1.8,3.5,3.35
284,B1,05/05/01,Lokeren,Mouscron,2,1,H,2,0,H,1.91,3.1,3.45,2.0,3.0,2.9,1.91,3.3,3.2,1.85,3.5,3.2
285,B1,05/05/01,St Truiden,Beveren,1,0,H,1,0,H,1.7,3.45,4.0,1.7,3.1,3.8,1.7,3.4,4.0,1.7,3.5,3.8
286,B1,05/05/01,Standard,Gent,1,0,H,0,0,D,1.72,3.35,4.1,1.85,3.0,3.3,1.75,3.5,3.6,1.7,3.5,3.8
287,B1,06/05/01,Aalst,Charleroi,4,0,H,4,0,H,1.97,3.2,3.25,1.85,3.1,3.2,1.91,3.4,3.2,1.9,3.45,3.1
288,B1,06/05/01,Westerlo,Harelbeke,1,0,H,0,0,D,1.75,3.45,3.8,1.85,3.1,3.2,1.83,3.5,3.25,1.85,3.5,3.2
289,B1,12/05/01,Gent,Louvieroise,2,2,D,0,2,A,1.6,3.75,4.25,1.55,3.4,4.2,1.7,3.25,4.0,1.7,3.5,3.8
290,B1,12/05/01,Anderlecht,Mechelen,1,0,H,1,0,H,1.1,6.75,13.0,1.1,7.0,14.0,1.1,6.5,12.0,1.1,7.0,12.0
291,B1,12/05/01,Antwerp,Aalst,0,0,D,0,0,D,2.05,3.35,2.97,1.9,3.2,2.9,2.1,3.25,2.75,2.05,3.4,2.8
292,B1,12/05/01,Beveren,Westerlo,1,4,A,0,1,A,2.5,3.15,2.45,2.6,3.0,2.2,2.4,3.2,2.4,2.45,3.3,2.35
293,B1,12/05/01,Charleroi,St Truiden,1,7,A,0,2,A,1.85,3.25,3.5,1.75,3.3,3.3,1.9,3.1,3.4,2.05,2.9,3.25
294,B1,12/05/01,Genk,Germinal,2,0,H,2,0,H,2.45,3.05,2.55,2.2,3.0,2.6,2.4,3.25,2.4,2.4,3.3,2.4
295,B1,12/05/01,Lierse,Club Brugge,0,2,A,0,1,A,3.4,3.25,1.9,3.1,3.0,1.9,3.4,3.25,1.85,3.5,3.35,1.8
296,B1,12/05/01,Lokeren,Harelbeke,3,0,H,2,0,H,1.73,3.7,3.5,1.6,3.4,3.6,1.8,3.6,3.2,1.8,3.55,3.3
297,B1,12/05/01,Mouscron,Standard,1,1,D,1,1,D,2.5,3.15,2.45,2.2,3.0,2.6,2.6,3.1,2.3,2.55,3.3,2.25
298,B1,19/05/01,Louvieroise,Mouscron,1,3,A,1,2,A,2.35,3.05,2.7,,,,,,,2.1,3.3,2.8
299,B1,20/05/01,Aalst,Anderlecht,1,5,A,1,3,A,3.85,3.3,1.8,3.7,3.3,1.65,,,,3.35,3.5,1.8
300,B1,20/05/01,Club Brugge,Genk,6,0,H,1,0,H,1.35,4.2,7.0,1.35,3.8,6.2,,,,1.35,4.1,6.5
301,B1,20/05/01,Germinal,Gent,1,3,A,1,1,D,1.88,3.25,3.5,1.8,3.1,3.4,1.85,3.5,3.2,1.8,3.4,3.45
302,B1,20/05/01,Harelbeke,Beveren,3,2,H,1,0,H,2.2,3.1,2.9,,,,,,,2.05,3.4,2.8
303,B1,20/05/01,Mechelen,Lierse,1,1,D,1,1,D,2.52,3.1,2.47,,,,,,,2.4,3.4,2.35
304,B1,20/05/01,St Truiden,Antwerp,1,1,D,0,1,A,1.97,3.15,3.35,,,,,,,1.7,3.6,3.7
305,B1,20/05/01,Standard,Lokeren,1,3,A,1,1,D,1.65,3.45,4.35,1.75,3.3,3.3,1.7,3.6,3.6,1.6,3.5,4.4
306,B1,20/05/01,Westerlo,Charleroi,0,1,A,0,0,D,1.66,3.5,4.3,,,,1.57,3.6,4.33,1.5,3.7,5.0
