index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
17,B1,19/08/00,Standard,Louvieroise,3,0,H,0,0,D,1.35,4.0,6.3,1.25,4.3,8.0,1.33,4.0,7.5,1.3,4.3,7.5
18,B1,20/08/00,Mouscron,Club Brugge,1,2,A,1,1,D,2.5,3.1,2.4,2.7,2.9,2.2,2.63,3.25,2.25,2.65,3.3,2.2
19,B1,25/08/00,Germinal,Standard,1,0,H,1,0,H,2.55,3.3,2.2,2.35,3.0,2.35,2.6,3.25,2.3,2.45,3.3,2.35
20,B1,26/08/00,Anderlecht,Beveren,4,0,H,2,0,H,1.2,5.0,7.8,1.2,4.7,9.0,1.22,5.0,9.0,1.2,5.0,9.5
21,B1,26/08/00,Mechelen,Mouscron,1,5,A,0,2,A,2.55,3.35,2.35,2.35,3.0,2.35,2.38,3.25,2.5,2.35,3.3,2.45
22,B1,26/08/00,St Truiden,Genk,2,2,D,1,0,H,2.55,3.3,2.25,2.35,3.0,2.35,2.63,3.2,2.3,2.55,3.3,2.25
23,B1,27/08/00,Aalst,Gent,1,4,A,1,1,D,3.0,3.2,2.1,2.9,3.0,2.0,2.88,3.3,2.1,2.75,3.35,2.1
24,B1,27/08/00,Charleroi,Antwerp,1,0,H,1,0,H,1.6,3.35,4.8,1.6,3.3,4.0,1.62,3.5,4.5,1.6,3.4,4.5
25,B1,27/08/00,Club Brugge,Lokeren,3,1,H,1,1,D,1.25,4.4,8.0,1.25,4.3,8.0,1.3,4.33,8.0,1.3,4.4,7.0
26,B1,27/08/00,Harelbeke,Louvieroise,2,2,D,1,1,D,1.66,3.5,4.2,1.75,3.2,3.4,1.73,3.4,4.0,1.7,3.4,3.9
27,B1,27/08/00,Westerlo,Lierse,1,0,H,0,0,D,2.2,3.1,2.8,2.0,3.0,2.9,2.25,3.2,2.7,2.2,3.3,2.65
28,B1,05/09/00,Anderlecht,Charleroi,7,2,H,3,1,H,1.4,3.7,6.0,1.4,3.6,5.5,1.4,3.8,6.75,1.45,3.7,5.7
29,B1,06/09/00,Gent,St Truiden,2,1,H,0,0,D,1.45,3.65,5.05,1.35,3.8,6.2,1.44,3.75,6.0,1.4,3.9,6.0
30,B1,06/09/00,Antwerp,Harelbeke,2,0,H,0,0,D,2.0,3.2,3.0,1.85,3.0,3.3,1.91,3.3,3.3,1.85,3.45,3.25
31,B1,06/09/00,Genk,Westerlo,1,2,A,1,0,H,1.8,3.3,3.7,1.85,3.0,3.3,1.8,3.25,3.75,1.65,3.5,4.1
32,B1,06/09/00,Louvieroise,Germinal,0,5,A,0,3,A,2.3,3.25,2.5,2.35,3.0,2.35,2.4,3.2,2.5,2.4,3.35,2.35
33,B1,06/09/00,Lierse,Beveren,3,0,H,1,0,H,1.45,3.7,5.5,1.35,3.8,6.2,1.44,3.75,6.0,1.45,3.75,5.5
34,B1,06/09/00,Lokeren,Mechelen,3,2,H,0,2,A,1.66,3.5,3.95,1.55,3.3,4.5,1.67,3.5,4.2,1.7,3.5,3.8
35,B1,06/09/00,Mouscron,Aalst,2,0,H,0,0,D,1.3,4.1,7.2,1.3,4.0,7.0,1.36,4.0,7.0,1.35,4.1,6.5
36,B1,06/09/00,Standard,Club Brugge,0,4,A,0,1,A,2.35,3.3,2.4,2.35,3.0,2.35,2.4,3.2,2.5,2.4,3.2,2.45
37,B1,09/09/00,Antwerp,Anderlecht,0,3,A,0,1,A,3.8,3.45,1.66,3.8,3.2,1.65,4.33,3.4,1.67,4.0,3.5,1.65
38,B1,09/09/00,Beveren,Genk,2,0,H,1,0,H,2.6,3.15,2.25,2.6,3.0,2.2,2.7,3.1,2.3,2.55,3.35,2.25
39,B1,09/09/00,Charleroi,Lierse,2,0,H,0,0,D,2.2,3.2,2.6,2.1,3.0,2.8,2.2,3.2,2.8,2.2,3.35,2.6
40,B1,09/09/00,Mechelen,Standard,0,4,A,0,1,A,2.7,3.2,2.1,2.8,3.0,2.1,2.7,3.25,2.25,2.35,3.4,2.15
41,B1,09/09/00,St Truiden,Mouscron,1,4,A,1,2,A,2.7,3.15,2.15,2.8,3.0,2.1,2.6,3.25,2.3,2.5,3.3,2.3
42,B1,09/09/00,Westerlo,Gent,0,0,D,0,0,D,2.05,3.5,2.9,2.2,3.0,2.6,2.2,3.25,2.75,2.15,3.4,2.65
43,B1,10/09/00,Aalst,Lokeren,2,2,D,2,1,H,2.35,3.15,2.5,2.3,3.1,2.3,2.4,3.2,2.5,2.4,3.35,2.35
44,B1,10/09/00,Club Brugge,Louvieroise,3,0,H,1,0,H,1.15,5.3,10.0,1.15,5.5,11.0,1.14,5.5,13.0,1.15,6.0,10.0
45,B1,10/09/00,Harelbeke,Germinal,3,0,H,2,0,H,2.25,3.2,2.55,2.3,3.1,2.3,2.38,3.3,2.5,2.35,3.35,2.4
46,B1,16/09/00,Gent,Beveren,5,0,H,3,0,H,1.45,3.7,5.5,1.35,3.8,6.2,1.44,3.75,5.5,1.45,3.8,5.4
47,B1,16/09/00,Anderlecht,Harelbeke,4,3,H,2,1,H,1.15,5.75,9.5,1.15,5.5,11.0,1.2,5.25,9.5,1.2,5.5,8.0
48,B1,16/09/00,Louvieroise,Mechelen,2,2,D,0,0,D,2.1,3.3,2.8,2.2,3.0,2.6,2.2,3.25,2.75,2.15,3.35,2.65
49,B1,16/09/00,Lierse,Antwerp,4,1,H,2,1,H,1.45,3.6,5.5,1.3,4.0,7.0,1.5,3.6,5.5,1.5,3.7,5.0
50,B1,16/09/00,Lokeren,St Truiden,2,1,H,0,0,D,1.6,3.5,4.4,1.5,3.4,4.7,1.6,3.6,4.5,1.6,3.6,4.25
51,B1,16/09/00,Mouscron,Westerlo,3,5,A,1,3,A,1.75,3.5,3.8,1.6,3.3,4.0,1.7,3.5,4.0,1.7,3.45,3.8
52,B1,16/09/00,Standard,Aalst,7,0,H,4,0,H,1.2,5.4,9.0,1.25,4.3,8.0,1.25,5.0,8.0,1.2,5.3,8.5
53,B1,17/09/00,Germinal,Club Brugge,2,3,A,0,1,A,3.6,3.5,1.8,3.2,3.1,1.85,3.5,3.3,1.83,3.1,3.3,1.95
54,B1,17/09/00,Genk,Charleroi,2,1,H,0,1,A,2.0,3.35,3.1,2.1,3.0,2.8,1.9,3.4,3.25,1.9,3.4,3.15
55,B1,22/09/00,Anderlecht,Lierse,5,2,H,2,1,H,1.35,4.0,6.5,1.4,3.6,5.5,,,,1.35,4.1,6.5
56,B1,23/09/00,Beveren,Mouscron,0,0,D,0,0,D,2.75,3.4,2.15,3.1,3.0,1.9,2.75,3.4,2.1,2.6,3.35,2.2
57,B1,23/09/00,Charleroi,Gent,4,3,H,2,0,H,2.2,3.5,2.5,2.2,3.0,2.6,2.2,3.3,2.63,2.2,3.35,2.6
58,B1,23/09/00,Mechelen,Germinal,2,3,A,0,0,D,2.35,3.3,2.45,2.3,3.0,2.4,2.4,3.3,2.4,2.3,3.35,2.45
59,B1,23/09/00,St Truiden,Standard,1,1,D,0,1,A,3.2,3.45,1.9,3.2,3.1,1.85,3.3,3.3,1.9,3.2,3.5,1.85
60,B1,23/09/00,Westerlo,Lokeren,1,1,D,0,0,D,1.66,3.4,4.0,1.7,3.1,3.8,1.7,3.4,4.0,1.65,3.5,4.1
61,B1,24/09/00,Aalst,Louvieroise,1,0,H,0,0,D,2.0,3.15,3.4,1.9,2.9,3.2,1.91,3.3,3.2,2.0,3.4,2.9
62,B1,24/09/00,Harelbeke,Club Brugge,0,6,A,0,2,A,4.5,3.8,1.55,4.7,3.4,1.5,4.75,3.5,1.57,4.25,3.6,1.6
63,B1,29/09/00,Mouscron,Charleroi,3,0,H,2,0,H,1.65,3.7,4.2,1.75,3.1,3.6,1.85,3.3,3.5,1.9,3.4,3.15
64,B1,30/09/00,Germinal,Aalst,2,0,H,0,0,D,1.35,3.8,7.0,1.4,3.6,5.5,,,,1.35,3.9,7.0
65,B1,30/09/00,Louvieroise,St Truiden,1,0,H,1,0,H,2.1,3.2,3.0,2.1,3.0,2.8,,,,2.2,3.3,2.65
66,B1,30/09/00,Lierse,Harelbeke,4,1,H,2,0,H,1.31,4.2,7.0,1.3,4.0,7.0,,,,1.35,4.1,6.5
67,B1,30/09/00,Lokeren,Beveren,1,1,D,1,1,D,1.6,3.66,4.4,1.45,3.5,5.0,,,,1.55,3.75,4.4
68,B1,30/09/00,Standard,Westerlo,5,3,H,4,1,H,1.6,3.6,4.2,1.6,3.3,4.0,,,,1.55,3.75,4.4
69,B1,01/10/00,Gent,Antwerp,4,2,H,2,2,D,1.35,4.0,6.0,1.3,4.0,7.0,1.4,3.75,6.5,1.35,4.1,6.5
70,B1,01/10/00,Club Brugge,Mechelen,5,2,H,2,1,H,1.13,6.0,12.0,1.1,7.0,14.0,1.15,5.5,11.0,1.15,6.0,10.0
71,B1,01/10/00,Genk,Anderlecht,1,1,D,1,1,D,3.3,3.5,1.85,3.2,3.1,1.85,3.4,3.25,1.91,3.0,3.4,2.0
72,B1,13/10/00,Lierse,Genk,1,1,D,0,0,D,1.7,3.9,3.6,1.6,3.3,4.0,1.73,3.5,3.75,1.7,3.55,3.7
73,B1,14/10/00,Anderlecht,Gent,2,1,H,2,1,H,1.3,4.5,6.2,1.3,4.0,7.0,1.4,3.6,7.0,1.35,4.0,6.7
74,B1,14/10/00,Antwerp,Mouscron,1,0,H,0,0,D,3.4,3.2,1.9,3.3,3.1,1.8,3.0,3.25,2.0,3.15,3.5,1.85
75,B1,14/10/00,Beveren,Standard,0,3,A,0,2,A,3.3,3.4,1.85,3.4,3.2,1.75,3.2,3.4,1.91,3.25,3.45,1.85
76,B1,14/10/00,Charleroi,Lokeren,1,0,H,0,0,D,1.67,3.4,4.2,1.7,3.2,3.6,1.67,3.5,4.0,1.65,3.55,4.0
77,B1,14/10/00,St Truiden,Germinal,3,2,H,2,0,H,2.5,3.3,2.35,2.35,3.0,2.35,2.5,3.3,2.3,2.5,3.25,2.3
78,B1,15/10/00,Aalst,Club Brugge,0,2,A,0,0,D,7.0,4.0,1.35,5.5,3.6,1.4,6.5,3.75,1.4,6.0,3.9,1.4
79,B1,15/10/00,Harelbeke,Mechelen,1,0,H,1,0,H,1.9,3.1,3.6,1.75,3.1,3.6,1.8,3.4,3.5,1.9,3.45,3.1
80,B1,15/10/00,Westerlo,Louvieroise,2,1,H,1,1,D,1.37,3.8,7.0,1.35,3.8,6.2,1.4,3.75,6.5,1.35,4.0,6.7
81,B1,20/10/00,Standard,Charleroi,4,0,H,2,0,H,1.5,3.6,5.5,1.6,3.3,4.0,1.53,3.6,5.0,1.5,3.7,5.0
82,B1,21/10/00,Gent,Lierse,2,3,A,2,1,H,2.0,3.15,3.25,1.7,3.2,3.6,1.9,3.3,3.3,1.8,3.5,3.35
83,B1,21/10/00,Germinal,Westerlo,3,1,H,1,0,H,2.2,3.0,2.9,2.0,3.0,2.9,2.1,3.5,2.7,2.15,3.3,2.7
84,B1,21/10/00,Genk,Harelbeke,4,0,H,2,0,H,1.47,3.5,5.5,1.45,3.5,5.0,1.45,3.75,5.6,1.4,4.1,5.5
85,B1,21/10/00,Louvieroise,Beveren,2,3,A,0,2,A,2.15,3.1,2.9,2.0,3.0,2.9,2.2,3.25,2.7,2.15,3.3,2.7
86,B1,21/10/00,Lokeren,Antwerp,0,1,A,0,0,D,1.51,3.5,5.0,1.5,3.4,4.7,1.57,3.5,4.75,1.6,3.55,4.3
87,B1,21/10/00,Mouscron,Anderlecht,1,2,A,0,0,D,3.15,3.0,2.1,2.8,3.0,2.1,2.75,3.4,2.1,3.1,3.45,1.9
88,B1,22/10/00,Club Brugge,St Truiden,5,0,H,2,0,H,1.12,6.0,12.0,1.1,7.0,14.0,1.14,5.5,13.0,1.15,6.0,10.0
89,B1,22/10/00,Mechelen,Aalst,4,1,H,1,1,D,1.91,3.3,3.25,1.9,3.0,3.1,1.9,3.3,3.25,1.65,3.55,4.0
90,B1,27/10/00,Lierse,Mouscron,1,4,A,0,3,A,1.85,3.25,3.75,1.75,3.2,3.4,1.75,3.4,3.8,1.75,3.5,3.6
91,B1,28/10/00,Anderlecht,Lokeren,8,0,H,3,0,H,1.2,5.3,9.0,1.2,4.7,9.0,1.2,5.5,9.0,1.2,5.5,8.0
92,B1,28/10/00,Beveren,Germinal,2,1,H,1,1,D,2.4,3.1,2.55,2.3,3.0,2.4,2.25,3.4,2.6,2.3,3.4,2.45
